tweet_id,created_at,date,hour,weekday,user_name,country,posted_via,client,user_followers,user_verified,hashtags,tweet_text,text_clean,p_negative,p_neutral,p_positive,sentiment,sentiment_score,confidence,margin
t00013,2020-07-24 23:52:10,2020-07-24,23,Friday,Julie Levangie❄️,United States,Phone or tablet app,Twitter for iPhone,74,False,['COVID19'],F U #COVID19. My hair salon is going out of business.🖕🏽,hair salon going,0.9408,0.0521,0.0071,Negative,-0.9337,0.9408,0.8886
t00014,2020-07-24 23:52:27,2020-07-24,23,Friday,#Yettismanchester,United Kingdom,Phone or tablet app,Twitter for iPhone,153,False,['masks'],"It’s one thing wearing #masks in and out of shops (new rule 😩), it’s a whole different ball game wearing them to co... https://t.co/jUiBtQBtSY",one thing wearing mask shop new rule whole different ball game wearing,0.1991,0.6764,0.1245,Neutral,-0.0746,0.6764,0.4773
t00015,2020-07-24 23:53:32,2020-07-24,23,Friday,Brad Giovanine,United States,Phone or tablet app,Twitter for iPhone,950,False,"['COVID19', 'Biden2020']",trump hasn’t had a change of heart. he finally saw the current polling. vote this fucker out. #COVID19 #Biden2020,trump change heart finally saw current polling vote fucker,0.9291,0.0622,0.0087,Negative,-0.9204,0.9291,0.8669
t00016,2020-07-24 23:53:38,2020-07-24,23,Friday,Adam Hammoude,,Phone or tablet app,Twitter for iPhone,168,False,"['United', 'States', 'America']","@BernieSanders Only in in the land of free and home of the brave, the great #United #States of #America does a bill... https://t.co/fQzCEzAbRr",land free home brave great united state america bill,0.009,0.2969,0.6942,Positive,0.6852,0.6942,0.3973
t00017,2020-07-24 23:53:39,2020-07-24,23,Friday,Cathy (Arndt)Carmody,,Phone or tablet app,Twitter for Android,56,False,"['MLB', 'COVID19']","Now everyone can stay home, watch #MLB, keep #COVID19 from spreading further!",everyone stay home watch mlb keep spreading,0.061,0.4767,0.4622,Neutral,0.4012,0.4767,0.0145
t00018,2020-07-24 23:54:04,2020-07-24,23,Friday,Doug Nadvornick,United States,Twitter website,Twitter Web App,398,False,['Covid19'],#Covid19 is not just for cities anymore. Rural northeastern Washington has seen an increase in cases over the last... https://t.co/jOXmFPWrhv,city anymore rural northeastern washington seen increase case last,0.5283,0.4478,0.0239,Negative,-0.5044,0.5283,0.0805
t00019,2020-07-24 23:54:12,2020-07-24,23,Friday,Lunamoon ✨🌟✨🇺🇸✨🌟✨,United States,Twitter website,Twitter Web App,11364,False,"['Jesus', 'Yeshua', 'Rapture', 'dreams']",Rapture Dream - I was left behind. JESUS IS COMING https://t.co/o2ogi3oBhU #Jesus #Yeshua #Rapture #dreams... https://t.co/fjcvUEnN64,rapture dream left behind jesus coming jesus yeshua rapture dream,0.1116,0.7201,0.1683,Neutral,0.0567,0.7201,0.5518
t00020,2020-07-24 23:54:13,2020-07-24,23,Friday,🌎T&F OLYMPIAD 🏟 Worldwide Athletics,,Phone or tablet app,Twitter for Android,526,False,"['covid19', 'coronavirus']",Panama 🇵🇦 declines to host the 2022 CAC Games #covid19 #coronavirus https://t.co/0Oq2wZeI2d https://t.co/qo26l5fzu1,panama decline host cac game,0.7613,0.2271,0.0116,Negative,-0.7497,0.7613,0.5342
t00021,2020-07-24 23:54:15,2020-07-24,23,Friday,La_Primavera,,Phone or tablet app,Twitter for Android,1003,False,"['COVID19', 'COVID', 'coronavirus']",@La_Primavera_GE The second wave is here. #COVID19 #COVID #coronavirus https://t.co/UFbO9G9JHz,second wave,0.4803,0.4808,0.0389,Neutral,-0.4414,0.4808,0.0005
t00022,2020-07-24 23:54:39,2020-07-24,23,Friday,Scallywagandvagabond,United States,Twitter website,Twitter Web App,2551,False,,'I’ll kill you!' Florida man pulls gun on Walmart shopper who asked him to wear mask arrested &amp; charged... https://t.co/lnGhxu6ME8,kill florida man pull gun walmart shopper asked wear mask arrested charged,0.8341,0.1578,0.0081,Negative,-0.826,0.8341,0.6763
t00023,2020-07-24 23:54:49,2020-07-24,23,Friday,AR_MEDCOM,United States,Twitter website,Twitter Web App,224,False,,"Maj. Michelle Coleman, a Critical Care Nurse from El Paso, TX, conducts premob activities in San Antonio, TX as she... https://t.co/5gBIBw6aZz",michelle coleman critical care nurse paso conduct premob activity san antonio,0.0047,0.9523,0.043,Neutral,0.0383,0.9523,0.9094
t00024,2020-07-24 23:55:02,2020-07-24,23,Friday,Population Health,United States,Scheduling tool,Sprout Social,2992,False,['COVID19'],"""As the #COVID19 pandemic continues to exact its toll on the world, collaborative efforts are needed to provide tim... https://t.co/W85DlULHjj",pandemic continues exact toll world collaborative effort needed provide tim,0.5143,0.4611,0.0247,Negative,-0.4896,0.5143,0.0532
t00025,2020-07-24 23:55:02,2020-07-24,23,Friday,GuideSpark,United States,Scheduling tool,Sprout Social,4668,False,['COVID19'],#COVID19 has changed everything - including your employees' goals. Keep these factors in mind as you work with your... https://t.co/S6B1LsimUQ,changed everything including employee goal keep factor mind work,0.0772,0.7248,0.1981,Neutral,0.1209,0.7248,0.5267
t00026,2020-07-24 23:55:59,2020-07-24,23,Friday,Matt Trezza,United States,Phone or tablet app,Twitter for iPhone,1589,False,,Two of Orlando’s @RosenHotels reopening on Sunday. Lots of safety procedures in place to keep rooms clean and guest... https://t.co/5uUznYVsc9,two orlando reopening sunday lot safety procedure place keep room clean guest,0.0076,0.6124,0.3799,Neutral,0.3723,0.6124,0.2325
t00027,2020-07-24 23:56:16,2020-07-24,23,Friday,Ms. Lonnie 🦋💜🤗,United States,Phone or tablet app,Twitter for Android,9022,False,,Let her send her kids to school. If she doesn't have kids she should go sit in the COVID UNIT and watch the horrors... https://t.co/YgdJGvQYrz,let send kid school kid sit unit watch horror,0.8207,0.1699,0.0094,Negative,-0.8113,0.8207,0.6508
t00028,2020-07-24 23:56:25,2020-07-24,23,Friday,S. F. Sutcliffe,,TweetDeck,TweetDeck,2309,False,,"@JamesMelville the latest James.. posted earlier.. https://t.co/AtS3EjD2PI also, from world renowned Infectious... https://t.co/xgp0BOf1Zs",latest james posted earlier also world renowned infectious,0.0071,0.8513,0.1416,Neutral,0.1345,0.8513,0.7097
t00029,2020-07-24 23:56:50,2020-07-24,23,Friday,Liz Youngblood,United States,Twitter website,Twitter Web App,264,False,['kindness'],.@JackieKOlive Thank you for sharing your talent with everyone at Baylor St. Luke's! Every small act of #kindness b... https://t.co/sEmWRRjKtW,thank sharing talent everyone baylor luke every small act kindness,0.0029,0.0146,0.9825,Positive,0.9796,0.9825,0.968
t00030,2020-07-24 23:57:13,2020-07-24,23,Friday,Roger Verhoeven,,Twitter website,Twitter Web App,2130,False,"['Taiwan', 'apps']","#Taiwan Gov Releases Real-time Mask Inventory Data, 72 #apps Created in 1 Day (日 / 한 / En) by @chihaoyo in @g0vtw... https://t.co/IOUXxdpxrt",taiwan gov release mask inventory data apps created day,0.012,0.9586,0.0293,Neutral,0.0173,0.9586,0.9293
t00031,2020-07-24 23:57:31,2020-07-24,23,Friday,i CoNN,Canada,Twitter website,Twitter Web App,285,False,,@fenixfoundation @elonmusk I feel bad for the small business's that aren't considered essential. Why is it okay for... https://t.co/p7LuvQaadg,feel bad small business considered essential okay,0.9045,0.0901,0.0053,Negative,-0.8992,0.9045,0.8144
t00032,2020-07-24 23:57:34,2020-07-24,23,Friday,Christina Hinojosa,,Phone or tablet app,Twitter for iPhone,367,False,"['WearAMask', 'COVID19']",Less than 10% bed availability at my hospital is understaffed and nurses are overwhelmed #WearAMask #COVID19 https://t.co/bSSiw5ub51,less bed availability hospital understaffed nurse overwhelmed wearamask,0.8262,0.1583,0.0155,Negative,-0.8107,0.8262,0.6679
t00033,2020-07-24 23:58:04,2020-07-24,23,Friday,Lee,,Twitter website,Twitter Web App,2556,False,['COVID19'],Pass #COVID19 on to Grandpa. https://t.co/jcjfBpoZRD,pas grandpa,0.4308,0.5336,0.0356,Neutral,-0.3952,0.5336,0.1027
t00034,2020-07-24 23:58:30,2020-07-24,23,Friday,Travis In Dallas,United States,Phone or tablet app,Twitter for Android,522,False,['COVID19'],"So #COVID19 cases are going down in Dallas, but guess what. Now they say ""While cases are going down, it's infecti... https://t.co/NgElXIuII2",case going dallas guess say case going infecti,0.7283,0.2561,0.0156,Negative,-0.7127,0.7283,0.4722
t00035,2020-07-24 23:58:38,2020-07-24,23,Friday,Katie Foust,,Phone or tablet app,Twitter for iPhone,105,False,,Maybe back in April people should have been more concerned with schools opening than with getting their damn nails... https://t.co/D3D67It44U,maybe back april people concerned school opening getting damn nail,0.7244,0.2547,0.0209,Negative,-0.7035,0.7244,0.4697
t00036,2020-07-24 23:59:21,2020-07-24,23,Friday,The AssarV10 TeamTM©,United States,Other or custom app,assarofficial,2565,False,,The first Phase 3 coronavirus vaccine trial in the US is expected to begin next week. Here's how the vaccine... https://t.co/0J9dBCdtbN,first phase vaccine trial expected begin next week vaccine,0.0058,0.9048,0.0893,Neutral,0.0835,0.9048,0.8155
t00037,2020-07-24 23:59:23,2020-07-24,23,Friday,Andy Bitchsear,,Phone or tablet app,Twitter for iPhone,3,False,,@JohnCranley @Willie700WLW @MikeDeWine Why is it okay for the @Reds to break the mask mandate on public funded-cit... https://t.co/AiY72tBdlX,okay break mask mandate public,0.6034,0.3882,0.0084,Negative,-0.595,0.6034,0.2152
t00038,2020-07-24 23:59:28,2020-07-24,23,Friday,Charlie Isaacs,,Phone or tablet app,Twitter for iPhone,35279,False,,"Well, my daughter cut my hair because my wife chickened out... but you asked for the before and after pics, so be c... https://t.co/DHnlOHWd64",well daughter cut hair wife chickened asked pic,0.3637,0.6,0.0363,Neutral,-0.3274,0.6,0.2363
t00039,2020-07-24 23:59:42,2020-07-24,23,Friday,Fed up MASK IT OR CASKET😷,,Phone or tablet app,Twitter for Android,330,False,"['BOUNTYONOURMILITARY', 'TRE45SON', 'COVID19']","Too late #BOUNTYONOURMILITARY #TRE45SON #COVID19 ""Trump signs orders to lower prescription drug costs"" https://t.co/KrM6g3Woea",late bountyonourmilitary trump sign order lower prescription drug cost,0.7129,0.2705,0.0167,Negative,-0.6962,0.7129,0.4424
t00040,2020-07-25 00:09:24,2020-07-25,0,Saturday,Mary Freeman,United States,Twitter website,Twitter Web App,595,False,,"An epidemic is “a moment of truth between communities, health officials and the overall system of government""... https://t.co/kDnVPV5RVC",epidemic moment truth community health official overall system government,0.1248,0.8372,0.038,Neutral,-0.0868,0.8372,0.7125
t00041,2020-07-25 00:46:59,2020-07-25,0,Saturday,Angelahoffer_,United States,Phone or tablet app,Twitter for iPhone,1653,False,,@JohnCarneyDE Way more people would comply with wearing a mask if you acknowledged how people are suffering more f... https://t.co/FZhFkOmjxs,way people would comply wearing mask acknowledged people suffering,0.5007,0.4441,0.0552,Negative,-0.4455,0.5007,0.0566
t00042,2020-07-25 00:50:36,2020-07-25,0,Saturday,TheCable,Nigeria,Phone or tablet app,Twitter for Android,534188,True,['COVID19'],"N1m on a COVID-19 patient: @ProfAkinAbayomi was misunderstood, says @followlasg https://t.co/jc8amxJLLf via @thecableng #COVID19",patient misunderstood say via,0.3528,0.6302,0.017,Neutral,-0.3358,0.6302,0.2775
t00043,2020-07-25 01:03:17,2020-07-25,1,Saturday,Maricopa County Sheriff's Office,,Phone or tablet app,Twitter for iPhone,18983,True,['covid19'],Here are today’s numbers on #covid19 testing inside our jails. For more details visit: https://t.co/bPQbdz2GKy https://t.co/FwBJtbY4KT,today number testing inside jail detail visit,0.0194,0.9443,0.0363,Neutral,0.0169,0.9443,0.908
t00044,2020-07-25 01:11:00,2020-07-25,1,Saturday,DJ RICHY RICH,,Phone or tablet app,Twitter for iPhone,22,False,"['Election2020', 'ElectionDay', 'COVID19', 'worldproblems']",EVERY👏🏽DAMN👏🏽ELECTION👏🏼ITS👏🏼A👏🏽WORLD👏🏽WIDE👏🏼ISSUE👏🏽!!️ #Election2020 #ElectionDay #COVID19 #worldproblems,electionday worldproblems,0.7339,0.2308,0.0353,Negative,-0.6986,0.7339,0.5031
t00045,2020-07-25 01:49:51,2020-07-25,1,Saturday,RadhakrishnanRK,India,Phone or tablet app,Twitter for Android,56301,True,['COVID19'],"If a compilation of counterproductive methods of #COVID19 control is done, add this. Nothing to top April ""lockdown... https://t.co/KlKd2h2LNV",compilation counterproductive method control done add nothing top april lockdown,0.8749,0.1166,0.0085,Negative,-0.8664,0.8749,0.7583
t00046,2020-07-25 02:16:13,2020-07-25,2,Saturday,Jagster,Australia,Phone or tablet app,Twitter for Android,1479,False,,"Trade Wars invariably lead to Real Wars. Next one to be blamed on the release of a ""Gain of Function"" experiment... https://t.co/Wt9JY1YFyq",trade war invariably lead real war next one blamed release gain function experiment,0.5855,0.4001,0.0144,Negative,-0.5711,0.5855,0.1855
t00047,2020-07-25 02:18:21,2020-07-25,2,Saturday,Aaron Derfel,Canada,Twitter website,Twitter Web App,17511,True,,"9) For those who’ve complained my reporting is unduly pessimistic, I want to draw attention to this undeniably posi... https://t.co/suFUaIlEOu",complained reporting unduly pessimistic want draw attention undeniably posi,0.5548,0.4139,0.0313,Negative,-0.5235,0.5548,0.1409
t00048,2020-07-25 02:29:35,2020-07-25,2,Saturday,👨🏻🦰🐂🦈⚖️ Gerry Moylan 🏡🗣👨🏽🤝👨🏼🌊🆘,United States,Cross-posted,Instagram,1223,False,"['dinner', 'foodie', 'food', 'covid19', 'eatingin']",Phillip made Chicken Parmigiana #dinner #foodie #food #covid19 #eatingin https://t.co/GzquKYdepB,phillip made chicken parmigiana dinner foodie food eatingin,0.0181,0.6023,0.3796,Neutral,0.3615,0.6023,0.2227
t00049,2020-07-25 03:23:53,2020-07-25,3,Saturday,Esther Rockett 🚀,United Kingdom,Twitter website,Twitter Web App,1050,False,['Vietnam'],"A strength of #Vietnam strategy - pre-emptive testing of all contacts &amp; whole neighbourhoods/workplaces, symptomati... https://t.co/RG9xceTWOb",strength vietnam strategy testing contact whole symptomati,0.0377,0.8678,0.0945,Neutral,0.0568,0.8678,0.7734
t00050,2020-07-25 04:01:11,2020-07-25,4,Saturday,TLRiddle,United States,Phone or tablet app,Twitter for iPhone,286,False,"['singlemom', 'disabled']",“She tested positive for the coronavirus. She's a #singlemom caring for a #disabled teenage son who also became sic... https://t.co/GEIDDWFKiX,tested positive singlemom caring disabled teenage son also became sic,0.3461,0.6285,0.0255,Neutral,-0.3206,0.6285,0.2824
t00051,2020-07-25 04:03:44,2020-07-25,4,Saturday,Dr Leon Hartwell,Australia,Twitter website,Twitter Web App,10474,False,['DrFauci'],"Perhaps #DrFauci sent a subliminal message to us: We should leave baseball to baseball players, just like we should... https://t.co/8m3OONGvp6",perhaps drfauci sent subliminal message leave baseball baseball player like,0.142,0.8167,0.0413,Neutral,-0.1007,0.8167,0.6748
t00052,2020-07-25 05:37:16,2020-07-25,5,Saturday,Pavan Chowdary,,Phone or tablet app,Twitter for Android,16,False,['COVID19'],"We, the students, are the future of our state, our country. If we become victims of the deadly virus #COVID19, and... https://t.co/qilS0chmiw",student future state country become victim deadly virus,0.7339,0.2383,0.0278,Negative,-0.7061,0.7339,0.4957
t00053,2020-07-25 06:13:13,2020-07-25,6,Saturday,Julia Hengstler,,Phone or tablet app,Twitter for iPhone,3809,False,['COVID19'],Top NYC school NEST+M wants full-time remote learning next year https://t.co/DXwLDWsN6G via @nypmetro #COVID19... https://t.co/v8t0hdu2Pu,top nyc school want remote learning next year via,0.0126,0.8309,0.1565,Neutral,0.1439,0.8309,0.6745
t00054,2020-07-25 06:16:01,2020-07-25,6,Saturday,DEV MANAV SEWA TRUST,,Phone or tablet app,Twitter for Android,7,False,"['devmanavsewa', 'manavsewa', 'lockdown', 'thoughts', 'covid19', 'thoughtoftheday', 'helpingothers', 'spiritualguru', 'motivater']",#devmanavsewa #manavsewa #lockdown #thoughts #covid19 #thoughtoftheday #helpingothers #spiritualguru #motivater... https://t.co/nM9hwoS87l,devmanavsewa manavsewa lockdown thought thoughtoftheday helpingothers spiritualguru motivater,0.0402,0.8278,0.132,Neutral,0.0918,0.8278,0.6957
t00055,2020-07-25 06:57:27,2020-07-25,6,Saturday,Novel Coronavirus - Covid19,,Phone or tablet app,Flamingo for Android,44403,False,['COVID19'],Employing a Systematic Approach to Biobanking and Analyzing Genetic and Clinical Data for Advancing #COVID19 Resear... https://t.co/yOxAda99LR,employing systematic approach biobanking analyzing genetic clinical data advancing resear,0.0343,0.9332,0.0325,Neutral,-0.0018,0.9332,0.8989
t00056,2020-07-25 07:14:29,2020-07-25,7,Saturday,Muzamil,,Bot or auto-feed,IFTTT,580,False,,"""20 million renters in the U.S. could be evicted in the coming months. Experts worry this will only increase the sp... https://t.co/Chd2bVItGf",million renter could evicted coming month expert worry increase,0.7604,0.2335,0.0061,Negative,-0.7543,0.7604,0.5269
t00057,2020-07-25 07:35:17,2020-07-25,7,Saturday,John Robinson,United Kingdom,Phone or tablet app,Twitter for Android,88,False,['COVID19'],Wtf! @BBCBreakfast Defending the government's approach to tackling the #COVID19 virus...,wtf defending government approach tackling virus,0.8753,0.1175,0.0071,Negative,-0.8682,0.8753,0.7578
t00058,2020-07-25 07:44:06,2020-07-25,7,Saturday,ILoveQatar - Live,,Twitter website,Twitter Web App,42279,True,['COVID19'],"People are complaining they’ve gained weight during #COVID19. For a quick fix, some of them have turned towards cra... https://t.co/2daZxvxBF7",people complaining gained weight quick fix turned towards cra,0.7109,0.2763,0.0127,Negative,-0.6982,0.7109,0.4346
t00059,2020-07-25 07:53:02,2020-07-25,7,Saturday,No Lockdown,United Kingdom,Twitter website,Twitter Web App,5524,False,,This is happening everywhere. Scottish legislation is easier to challenge... someone should take it to court to t... https://t.co/pqAYUsMmVd,happening everywhere scottish legislation easier challenge someone take court,0.7685,0.2194,0.0121,Negative,-0.7564,0.7685,0.5492
t00060,2020-07-25 07:54:00,2020-07-25,7,Saturday,www.THEPIGEONEXPRESS.com,,TweetDeck,TweetDeck,1002,False,,"""Just felt it wrong,"" Donald Trump says, cancelling Republican convention in Florida amid rising coronavirus cases.... https://t.co/dPy95I0pXL",felt wrong donald trump say cancelling republican convention florida amid rising case,0.8038,0.19,0.0062,Negative,-0.7976,0.8038,0.6138
t00061,2020-07-25 07:58:05,2020-07-25,7,Saturday,TM Media Solutions,South Africa,Phone or tablet app,Twitter for Android,230,False,"['BBNaijia', 'bbnaijalockdown2020', 'COVID19', 'ZanupfMustGo']",Get a professional logo today for only R300 #BBNaijia #bbnaijalockdown2020 #COVID19 #ZanupfMustGo... https://t.co/EfFHOsqQbA,get professional logo today bbnaijia zanupfmustgo,0.1336,0.7361,0.1303,Neutral,-0.0033,0.7361,0.6025
t00062,2020-07-25 08:27:02,2020-07-25,8,Saturday,DBentoBox,United Kingdom,Twitter website,Twitter Web App,4,False,,"@British_Airways Why is the call center refusing to take calls? A message comes up saying “call back another time,”... https://t.co/3vry18DFDF",call center refusing take call message come saying call back another time,0.819,0.1752,0.0058,Negative,-0.8132,0.819,0.6438
t00063,2020-07-25 08:40:01,2020-07-25,8,Saturday,Cleveland Clinic Indian River Hospital,United States,Scheduling tool,Sprout Social,564,False,['COVID19'],Clinical Trial Hopes to Keep Patients Off Ventilators: https://t.co/8V55wYwuqO via @NBC6 #COVID19,clinical trial hope keep patient ventilator via,0.0131,0.8902,0.0967,Neutral,0.0836,0.8902,0.7936
t00064,2020-07-25 08:53:42,2020-07-25,8,Saturday,Juan Manuel Alonso,,Twitter website,Twitter Web App,2591,False,"['COVID19', 'football']",#COVID19 &amp; Sport Alert! Interesting👀 Modelling COVID-19 propagation during 🇪🇸#football ⚽️@LaLiga Reducing days... https://t.co/XkXmpAsKmj,sport alert modelling propagation football reducing day,0.0054,0.4598,0.5348,Positive,0.5294,0.5348,0.0751
t00065,2020-07-25 09:00:45,2020-07-25,9,Saturday,RxDx Clinics,India,Scheduling tool,Buffer,809,False,"['OnlineConsultation', 'ContactlessServices', 'COVID19']","#OnlineConsultation, #ContactlessServices make lives easier as #COVID19 spreads at an alarming rate. Phone/computer... https://t.co/Vm6inDvcqq",onlineconsultation contactlessservices make life easier spread alarming rate,0.0536,0.5958,0.3507,Neutral,0.2971,0.5958,0.2451
t00066,2020-07-25 10:00:35,2020-07-25,10,Saturday,GW Integrative Medicine,United States,Scheduling tool,Hootsuite Inc,617,False,['COVID19'],What we're reading: The Path to a @EVMSedu’s #COVID19 Integrative Protocol Using Multiple Natural Agents: Interview... https://t.co/Ga7bXmlzYY,reading path integrative protocol using multiple natural agent interview,0.0107,0.9563,0.033,Neutral,0.0223,0.9563,0.9233
t00067,2020-07-25 10:12:14,2020-07-25,10,Saturday,Olamide,,Phone or tablet app,Twitter for Android,177,False,"['alreadyvideo', 'COVID19', 'BBNaijia']",Lagos schools to resume August 4 https://t.co/h133Zo6Mr4 @followlasg @DeleMomodu @DrAhmadLawan #alreadyvideo #COVID19 #BBNaijia,lagos school resume august alreadyvideo bbnaijia,0.0976,0.8719,0.0305,Neutral,-0.0671,0.8719,0.7743
t00068,2020-07-25 10:22:14,2020-07-25,10,Saturday,Cerys Morgan 🚰🧼🤲🏻🧼🚰,United Kingdom,Phone or tablet app,Twitter for iPhone,2756,False,,What are teams doing for their outgoing juniors? Ours have been on the job for 8months (4 of which we were exclus... https://t.co/lYsUSBZg9h,team outgoing junior job exclus,0.011,0.9228,0.0663,Neutral,0.0553,0.9228,0.8565
t00069,2020-07-25 10:33:36,2020-07-25,10,Saturday,mathunt71 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇪🇺 💚 🌱🌍,United Kingdom,Phone or tablet app,Twitter for Android,556,False,['COVID19'],"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y... https://t.co/84jdSkWf6z",help slow spread identify risk case sooner symptom daily even,0.1462,0.7506,0.1032,Neutral,-0.043,0.7506,0.6043
t00070,2020-07-25 10:34:39,2020-07-25,10,Saturday,Jessica Finn,United States,Phone or tablet app,Twitter for iPhone,2934,True,,But lets send the kids &amp; teachers back to filled schools &amp; full school days in just a few weeks. The blood is on th... https://t.co/satkvWkR9Q,let send kid teacher back filled school full school day week blood,0.5009,0.4603,0.0388,Negative,-0.4621,0.5009,0.0405
t00071,2020-07-25 10:43:45,2020-07-25,10,Saturday,newgovplz🇺🇸 Freedom #leadright USA,United States,Phone or tablet app,Twitter for iPad,549,False,['COVID19'],Wow- so apparently @JoeBiden knew how to contain #COVID19 and prevent “this” but didn’t. Shame on him.... https://t.co/HVatw8hTzS,apparently knew contain prevent shame,0.8991,0.0922,0.0087,Negative,-0.8904,0.8991,0.8069
t00072,2020-07-25 10:45:19,2020-07-25,10,Saturday,SocialMediaAntiBully,,Phone or tablet app,Twitter for iPhone,13,False,['DonaldTrump'],Y’all dont realize #DonaldTrump cutting off unemployment so black people can have to go to work. Y’all don’t think... https://t.co/w0hpXsICX0,dont realize donaldtrump cutting unemployment black people work think,0.5835,0.3859,0.0306,Negative,-0.5529,0.5835,0.1976
