tweet_id,date,hour,weekday,posted_via,country,sentiment,sentiment_score,confidence,margin
t00021,2020-07-24,23,Friday,Phone or tablet app,,Neutral,-0.4414,0.4808,0.0005
t00022,2020-07-24,23,Friday,Twitter website,United States,Negative,-0.826,0.8341,0.6763
t00023,2020-07-24,23,Friday,Twitter website,United States,Neutral,0.0383,0.9523,0.9094
t00024,2020-07-24,23,Friday,Scheduling tool,United States,Negative,-0.4896,0.5143,0.0532
t00025,2020-07-24,23,Friday,Scheduling tool,United States,Neutral,0.1209,0.7248,0.5267
t00026,2020-07-24,23,Friday,Phone or tablet app,United States,Neutral,0.3723,0.6124,0.2325
t00027,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.8113,0.8207,0.6508
t00028,2020-07-24,23,Friday,TweetDeck,,Neutral,0.1345,0.8513,0.7097
t00029,2020-07-24,23,Friday,Twitter website,United States,Positive,0.9796,0.9825,0.968
t00030,2020-07-24,23,Friday,Twitter website,,Neutral,0.0173,0.9586,0.9293
t00031,2020-07-24,23,Friday,Twitter website,Canada,Negative,-0.8992,0.9045,0.8144
t00032,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.8107,0.8262,0.6679
t00033,2020-07-24,23,Friday,Twitter website,,Neutral,-0.3952,0.5336,0.1027
t00034,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.7127,0.7283,0.4722
t00035,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.7035,0.7244,0.4697
t00036,2020-07-24,23,Friday,Other or custom app,United States,Neutral,0.0835,0.9048,0.8155
t00037,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.595,0.6034,0.2152
t00038,2020-07-24,23,Friday,Phone or tablet app,,Neutral,-0.3274,0.6,0.2363
t00039,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.6962,0.7129,0.4424
t00040,2020-07-25,0,Saturday,Twitter website,United States,Neutral,-0.0868,0.8372,0.7125
t00041,2020-07-25,0,Saturday,Phone or tablet app,United States,Negative,-0.4455,0.5007,0.0566
t00042,2020-07-25,0,Saturday,Phone or tablet app,Nigeria,Neutral,-0.3358,0.6302,0.2775
t00043,2020-07-25,1,Saturday,Phone or tablet app,,Neutral,0.0169,0.9443,0.908
t00044,2020-07-25,1,Saturday,Phone or tablet app,,Negative,-0.6986,0.7339,0.5031
t00045,2020-07-25,1,Saturday,Phone or tablet app,India,Negative,-0.8664,0.8749,0.7583
t00046,2020-07-25,2,Saturday,Phone or tablet app,Australia,Negative,-0.5711,0.5855,0.1855
t00047,2020-07-25,2,Saturday,Twitter website,Canada,Negative,-0.5235,0.5548,0.1409
t00048,2020-07-25,2,Saturday,Cross-posted,United States,Neutral,0.3615,0.6023,0.2227
t00049,2020-07-25,3,Saturday,Twitter website,United Kingdom,Neutral,0.0568,0.8678,0.7734
t00050,2020-07-25,4,Saturday,Phone or tablet app,United States,Neutral,-0.3206,0.6285,0.2824
t00051,2020-07-25,4,Saturday,Twitter website,Australia,Neutral,-0.1007,0.8167,0.6748
t00052,2020-07-25,5,Saturday,Phone or tablet app,,Negative,-0.7061,0.7339,0.4957
t00053,2020-07-25,6,Saturday,Phone or tablet app,,Neutral,0.1439,0.8309,0.6745
t00054,2020-07-25,6,Saturday,Phone or tablet app,,Neutral,0.0918,0.8278,0.6957
t00055,2020-07-25,6,Saturday,Phone or tablet app,,Neutral,-0.0018,0.9332,0.8989
t00056,2020-07-25,7,Saturday,Bot or auto-feed,,Negative,-0.7543,0.7604,0.5269
t00057,2020-07-25,7,Saturday,Phone or tablet app,United Kingdom,Negative,-0.8682,0.8753,0.7578
t00058,2020-07-25,7,Saturday,Twitter website,,Negative,-0.6982,0.7109,0.4346
t00059,2020-07-25,7,Saturday,Twitter website,United Kingdom,Negative,-0.7564,0.7685,0.5492
t00060,2020-07-25,7,Saturday,TweetDeck,,Negative,-0.7976,0.8038,0.6138
t00061,2020-07-25,7,Saturday,Phone or tablet app,South Africa,Neutral,-0.0033,0.7361,0.6025
t00062,2020-07-25,8,Saturday,Twitter website,United Kingdom,Negative,-0.8132,0.819,0.6438
t00063,2020-07-25,8,Saturday,Scheduling tool,United States,Neutral,0.0836,0.8902,0.7936
t00064,2020-07-25,8,Saturday,Twitter website,,Positive,0.5294,0.5348,0.0751
t00065,2020-07-25,9,Saturday,Scheduling tool,India,Neutral,0.2971,0.5958,0.2451
t00066,2020-07-25,10,Saturday,Scheduling tool,United States,Neutral,0.0223,0.9563,0.9233
t00067,2020-07-25,10,Saturday,Phone or tablet app,,Neutral,-0.0671,0.8719,0.7743
t00068,2020-07-25,10,Saturday,Phone or tablet app,United Kingdom,Neutral,0.0553,0.9228,0.8565
t00069,2020-07-25,10,Saturday,Phone or tablet app,United Kingdom,Neutral,-0.043,0.7506,0.6043
t00070,2020-07-25,10,Saturday,Phone or tablet app,United States,Negative,-0.4621,0.5009,0.0405
t00071,2020-07-25,10,Saturday,Phone or tablet app,United States,Negative,-0.8904,0.8991,0.8069
t00072,2020-07-25,10,Saturday,Phone or tablet app,,Negative,-0.5529,0.5835,0.1976
t00073,2020-07-25,11,Saturday,Phone or tablet app,,Positive,0.7795,0.7831,0.5699
t00074,2020-07-25,11,Saturday,Scheduling tool,,Neutral,0.0017,0.9479,0.9211
t00075,2020-07-25,11,Saturday,Phone or tablet app,,Neutral,0.396,0.57,0.157
t00076,2020-07-25,11,Saturday,Twitter website,,Negative,-0.7941,0.8037,0.617
t00077,2020-07-25,11,Saturday,Twitter website,United Kingdom,Neutral,-0.0416,0.88,0.7991
t00078,2020-07-25,11,Saturday,Twitter website,,Neutral,0.2716,0.6946,0.406
t00079,2020-07-25,11,Saturday,Phone or tablet app,Australia,Neutral,0.0461,0.5198,0.2566
t00080,2020-07-26,2,Sunday,Phone or tablet app,Kenya,Neutral,0.0939,0.5147,0.2252
t00081,2020-07-26,2,Sunday,Bot or auto-feed,,Neutral,-0.0779,0.7987,0.659
t00082,2020-07-26,2,Sunday,TweetDeck,,Negative,-0.7259,0.7373,0.4859
t00083,2020-07-26,3,Sunday,Phone or tablet app,India,Neutral,-0.3795,0.5105,0.0761
t00084,2020-07-26,3,Sunday,Phone or tablet app,United States,Positive,0.7966,0.8051,0.6186
t00085,2020-07-26,3,Sunday,TweetDeck,,Neutral,0.0479,0.9042,0.8323
t00086,2020-07-26,3,Sunday,Phone or tablet app,,Neutral,-0.426,0.5234,0.0721
t00087,2020-07-26,3,Sunday,Twitter website,United States,Neutral,0.3174,0.6726,0.3502
t00088,2020-07-26,4,Sunday,Bot or auto-feed,,Positive,0.96,0.962,0.9259
t00089,2020-07-26,4,Sunday,Bot or auto-feed,,Positive,0.3936,0.4744,0.0295
t00090,2020-07-26,4,Sunday,Phone or tablet app,Philippines,Positive,0.5903,0.6169,0.2604
t00091,2020-07-26,4,Sunday,Twitter website,,Negative,-0.6021,0.6137,0.2389
t00092,2020-07-26,4,Sunday,Phone or tablet app,United States,Negative,-0.4825,0.561,0.2004
t00093,2020-07-26,5,Sunday,Twitter website,Australia,Negative,-0.9118,0.9163,0.8371
t00094,2020-07-26,5,Sunday,Phone or tablet app,,Negative,-0.8969,0.9013,0.8069
t00095,2020-07-26,5,Sunday,Twitter website,,Neutral,0.1159,0.8311,0.6887
t00096,2020-07-26,5,Sunday,Phone or tablet app,United States,Negative,-0.9242,0.9304,0.867
t00097,2020-07-26,6,Sunday,Scheduling tool,Australia,Neutral,0.0525,0.9142,0.8451
t00098,2020-07-26,6,Sunday,Cross-posted,South Africa,Negative,-0.6865,0.7051,0.4287
t00099,2020-07-26,7,Sunday,Twitter website,,Positive,0.6824,0.7081,0.4419
t00100,2020-07-26,7,Sunday,Twitter website,India,Neutral,-0.1595,0.7524,0.5489
t00101,2020-07-26,7,Sunday,Phone or tablet app,Nigeria,Neutral,0.2715,0.4969,0.1096
t00102,2020-07-26,7,Sunday,Scheduling tool,India,Positive,0.4904,0.5006,0.0115
t00103,2020-07-26,7,Sunday,Phone or tablet app,United Kingdom,Negative,-0.7257,0.7382,0.4889
t00104,2020-07-26,7,Sunday,Phone or tablet app,Australia,Neutral,-0.2593,0.7005,0.4212
t00105,2020-07-26,8,Sunday,Phone or tablet app,United States,Neutral,0.0303,0.9525,0.9136
t00106,2020-07-26,8,Sunday,Twitter website,United States,Neutral,-0.3548,0.5868,0.2028
t00107,2020-07-26,8,Sunday,Phone or tablet app,Canada,Positive,0.6174,0.7323,0.5795
t00108,2020-07-26,8,Sunday,Twitter website,India,Negative,-0.836,0.8479,0.7077
t00109,2020-07-26,8,Sunday,Phone or tablet app,,Positive,0.7165,0.72,0.4435
t00110,2020-07-26,8,Sunday,Twitter website,,Neutral,-0.1368,0.7484,0.5542
t00111,2020-07-26,8,Sunday,Cross-posted,Australia,Neutral,-0.3415,0.5253,0.1172
t00112,2020-07-26,8,Sunday,TweetDeck,,Neutral,-0.3923,0.5587,0.1419
t00113,2020-07-26,9,Sunday,TweetDeck,,Neutral,0.039,0.942,0.8935
t00114,2020-07-26,9,Sunday,Phone or tablet app,Ireland,Negative,-0.7894,0.8028,0.619
t00115,2020-07-26,9,Sunday,Phone or tablet app,India,Neutral,0.2309,0.7468,0.5047
t00116,2020-07-26,9,Sunday,Twitter website,,Neutral,0.0474,0.8954,0.8194
t00117,2020-07-26,9,Sunday,Phone or tablet app,United States,Neutral,0.0184,0.9004,0.8414
t00118,2020-07-26,9,Sunday,Phone or tablet app,,Positive,0.5199,0.619,0.3371
t00119,2020-07-26,9,Sunday,Phone or tablet app,,Neutral,-0.0219,0.9423,0.9025
t00120,2020-07-27,1,Monday,Twitter website,United States,Negative,-0.6542,0.6688,0.3523
t00121,2020-07-27,1,Monday,Scheduling tool,Australia,Negative,-0.7986,0.8068,0.6218
t00122,2020-07-27,1,Monday,Phone or tablet app,Philippines,Neutral,0.0426,0.8795,0.798
t00123,2020-07-27,2,Monday,Scheduling tool,United States,Neutral,0.0558,0.9268,0.8623
t00124,2020-07-27,2,Monday,Twitter website,Australia,Negative,-0.9142,0.9188,0.8422
t00125,2020-07-27,2,Monday,Phone or tablet app,United States,Negative,-0.5455,0.5656,0.1512
t00126,2020-07-27,2,Monday,Twitter website,,Negative,-0.7391,0.7563,0.5299
t00127,2020-07-27,2,Monday,Phone or tablet app,Canada,Neutral,-0.1988,0.754,0.5316
t00128,2020-07-27,3,Monday,Twitter website,,Negative,-0.8971,0.903,0.812
t00129,2020-07-27,3,Monday,Twitter website,United States,Negative,-0.4572,0.5191,0.1001
t00130,2020-07-27,3,Monday,Phone or tablet app,,Negative,-0.6196,0.6355,0.2868
t00131,2020-07-27,3,Monday,Phone or tablet app,,Negative,-0.6095,0.6209,0.2531
t00132,2020-07-27,3,Monday,Phone or tablet app,India,Neutral,-0.0629,0.8883,0.801
t00133,2020-07-27,4,Monday,Other or custom app,,Neutral,0.108,0.8791,0.7647
t00134,2020-07-27,4,Monday,Twitter website,United States,Neutral,-0.1424,0.7446,0.5457
t00135,2020-07-27,4,Monday,Twitter website,United States,Positive,0.6558,0.6585,0.3196
t00136,2020-07-27,4,Monday,Twitter website,India,Negative,-0.5133,0.5246,0.0604
t00137,2020-07-27,4,Monday,Phone or tablet app,,Positive,0.5159,0.5658,0.1814
t00138,2020-07-27,5,Monday,Phone or tablet app,,Neutral,0.3354,0.6224,0.2659
t00139,2020-07-27,5,Monday,Phone or tablet app,,Negative,-0.9356,0.9421,0.8906
t00140,2020-07-27,5,Monday,Phone or tablet app,,Neutral,-0.044,0.8974,0.8241
t00141,2020-07-27,5,Monday,Twitter website,,Neutral,0.1807,0.8093,0.6235
t00142,2020-07-27,5,Monday,Bot or auto-feed,,Negative,-0.8287,0.8364,0.6805
t00143,2020-07-27,5,Monday,Twitter website,India,Negative,-0.4325,0.4944,0.0508
t00144,2020-07-27,5,Monday,Twitter website,,Neutral,-0.4148,0.5578,0.1292
t00145,2020-07-27,6,Monday,Bot or auto-feed,,Neutral,-0.2719,0.6825,0.3878
t00146,2020-07-27,6,Monday,Twitter website,,Negative,-0.6003,0.6137,0.2408
t00147,2020-07-27,6,Monday,Twitter website,,Neutral,0.2241,0.7629,0.5323
t00148,2020-07-27,6,Monday,Twitter website,India,Neutral,-0.1014,0.828,0.6913
t00149,2020-07-27,6,Monday,Twitter website,,Negative,-0.8413,0.8496,0.7074
t00150,2020-07-27,6,Monday,Phone or tablet app,United States,Positive,0.7685,0.7838,0.583
t00151,2020-07-27,6,Monday,Twitter website,Pakistan,Neutral,0.1496,0.8448,0.6923
t00152,2020-07-27,6,Monday,Twitter website,,Neutral,-0.312,0.6354,0.2971
t00153,2020-07-27,6,Monday,Twitter website,,Neutral,0.3583,0.6239,0.2567
t00154,2020-07-27,6,Monday,Twitter website,,Negative,-0.6579,0.6715,0.3566
t00155,2020-07-27,6,Monday,Phone or tablet app,United Kingdom,Positive,0.951,0.9529,0.9078
t00156,2020-07-27,6,Monday,Phone or tablet app,Kenya,Neutral,-0.297,0.6722,0.3598
t00157,2020-07-27,7,Monday,Phone or tablet app,United States,Neutral,-0.3994,0.548,0.1222
t00158,2020-07-27,7,Monday,TweetDeck,India,Negative,-0.5967,0.612,0.2393
t00159,2020-07-27,7,Monday,Phone or tablet app,South Africa,Positive,0.8941,0.9,0.8059
t00160,2020-07-28,2,Tuesday,Phone or tablet app,,Negative,-0.9313,0.9375,0.8812
t00161,2020-07-28,3,Tuesday,TweetDeck,,Neutral,-0.0094,0.9043,0.8517
t00162,2020-07-28,3,Tuesday,Phone or tablet app,United States,Neutral,-0.3339,0.6171,0.2587
t00163,2020-07-28,3,Tuesday,Twitter website,,Negative,-0.8563,0.8637,0.7348
t00164,2020-07-28,3,Tuesday,Twitter website,,Neutral,0.0628,0.8978,0.8153
t00165,2020-07-28,3,Tuesday,Phone or tablet app,,Neutral,0.3657,0.6185,0.2448
t00166,2020-07-28,3,Tuesday,TweetDeck,India,Neutral,0.0746,0.8811,0.7843
t00167,2020-07-28,3,Tuesday,Twitter website,India,Negative,-0.6124,0.629,0.2746
t00168,2020-07-28,3,Tuesday,Twitter website,,Positive,0.8214,0.8306,0.6703
t00169,2020-07-28,3,Tuesday,Other or custom app,Global / unstated,Negative,-0.5531,0.5642,0.1395
t00170,2020-07-28,3,Tuesday,Phone or tablet app,United States,Negative,-0.5996,0.6453,0.3363
t00171,2020-07-28,4,Tuesday,Twitter website,,Positive,0.71,0.7535,0.5505
t00172,2020-07-28,4,Tuesday,Phone or tablet app,United States,Neutral,0.0298,0.9173,0.8611
t00173,2020-07-28,4,Tuesday,Twitter website,India,Neutral,0.1468,0.8446,0.6934
t00174,2020-07-28,4,Tuesday,Phone or tablet app,,Negative,-0.8232,0.8311,0.6702
t00175,2020-07-28,4,Tuesday,Other or custom app,United States,Neutral,0.2803,0.6939,0.4008
t00176,2020-07-28,4,Tuesday,Phone or tablet app,United States,Negative,-0.7247,0.7448,0.5097
t00177,2020-07-28,5,Tuesday,Phone or tablet app,,Negative,-0.9225,0.9287,0.8635
t00178,2020-07-28,5,Tuesday,TweetDeck,Australia,Neutral,0.0461,0.9227,0.8609
t00179,2020-07-28,5,Tuesday,Twitter website,,Positive,0.9117,0.9188,0.8446
t00180,2020-07-28,5,Tuesday,Twitter website,South Africa,Negative,-0.6335,0.6468,0.3069
t00181,2020-07-28,5,Tuesday,Twitter website,India,Neutral,-0.1702,0.7602,0.5552
t00182,2020-07-28,5,Tuesday,Scheduling tool,Australia,Neutral,-0.0162,0.9335,0.8922
t00183,2020-07-28,5,Tuesday,Twitter website,United States,Negative,-0.9102,0.9167,0.8398
t00184,2020-07-28,5,Tuesday,TweetDeck,Australia,Neutral,-0.0439,0.9123,0.8465
t00185,2020-07-28,6,Tuesday,Scheduling tool,,Neutral,-0.3161,0.6411,0.3037
t00186,2020-07-28,6,Tuesday,Phone or tablet app,,Negative,-0.8929,0.9017,0.8123
t00187,2020-07-28,6,Tuesday,Twitter website,United States,Negative,-0.7989,0.8055,0.6176
t00188,2020-07-28,6,Tuesday,Twitter website,,Neutral,0.3003,0.6423,0.3134
t00189,2020-07-28,6,Tuesday,Twitter website,India,Neutral,-0.2589,0.6943,0.4119
t00190,2020-07-28,6,Tuesday,Twitter website,,Neutral,0.0059,0.9238,0.8828
t00191,2020-07-28,6,Tuesday,Phone or tablet app,,Neutral,-0.004,0.9539,0.9288
t00192,2020-07-28,6,Tuesday,Phone or tablet app,,Neutral,-0.3984,0.5622,0.1441
t00193,2020-07-28,6,Tuesday,Twitter website,India,Neutral,-0.1471,0.4586,0.1143
t00194,2020-07-28,6,Tuesday,Twitter website,Australia,Neutral,-0.1241,0.8183,0.6654
t00195,2020-07-28,6,Tuesday,TweetDeck,Australia,Neutral,-0.3648,0.6008,0.2187
t00196,2020-07-28,6,Tuesday,Scheduling tool,,Negative,-0.4939,0.5251,0.0814
t00197,2020-07-28,6,Tuesday,TweetDeck,,Positive,0.4779,0.4935,0.0025
t00198,2020-07-28,6,Tuesday,Twitter website,,Positive,0.877,0.887,0.7839
t00199,2020-07-29,15,Wednesday,Phone or tablet app,,Negative,-0.735,0.7629,0.5536
t00200,2020-07-29,15,Wednesday,Twitter website,United States,Positive,0.9239,0.9254,0.8523
t00201,2020-07-29,15,Wednesday,Scheduling tool,India,Neutral,-0.2321,0.6295,0.3283
t00202,2020-07-29,15,Wednesday,Phone or tablet app,United States,Neutral,-0.0699,0.8599,0.7548
t00203,2020-07-29,15,Wednesday,Twitter website,,Negative,-0.7984,0.8148,0.6461
t00204,2020-07-29,15,Wednesday,Twitter website,,Positive,0.6157,0.6224,0.2516
t00205,2020-07-29,15,Wednesday,Scheduling tool,,Neutral,0.0542,0.9296,0.8673
t00206,2020-07-29,16,Wednesday,Scheduling tool,United States,Neutral,-0.0409,0.8341,0.7307
t00207,2020-07-29,16,Wednesday,Twitter website,,Negative,-0.7272,0.7398,0.4921
t00208,2020-07-29,16,Wednesday,Phone or tablet app,,Negative,-0.8114,0.82,0.6487
t00209,2020-07-29,16,Wednesday,Scheduling tool,,Negative,-0.6194,0.6307,0.2727
t00210,2020-07-29,16,Wednesday,Scheduling tool,Canada,Neutral,0.0181,0.9465,0.9107
t00211,2020-07-29,16,Wednesday,Scheduling tool,United States,Neutral,-0.1039,0.7681,0.6001
t00212,2020-07-29,16,Wednesday,Twitter website,,Negative,-0.6989,0.7315,0.4955
t00213,2020-07-29,16,Wednesday,Scheduling tool,United States,Neutral,0.058,0.8502,0.7462
t00214,2020-07-29,16,Wednesday,Twitter website,,Neutral,0.031,0.9378,0.8912
t00215,2020-07-29,16,Wednesday,TweetDeck,Global / unstated,Positive,0.7712,0.7727,0.5469
t00216,2020-07-29,16,Wednesday,Phone or tablet app,,Neutral,0.0617,0.8271,0.7098
t00217,2020-07-29,16,Wednesday,Scheduling tool,,Neutral,0.1656,0.8247,0.6543
t00218,2020-07-29,16,Wednesday,Phone or tablet app,,Positive,0.9679,0.9736,0.9529
t00219,2020-07-29,16,Wednesday,Phone or tablet app,United States,Positive,0.7491,0.7546,0.5147
t00220,2020-07-29,16,Wednesday,Phone or tablet app,,Negative,-0.677,0.6941,0.4054
t00221,2020-07-29,16,Wednesday,Scheduling tool,,Neutral,0.2176,0.7656,0.5396
t00222,2020-07-29,16,Wednesday,Other or custom app,United States,Negative,-0.8829,0.8904,0.7884
t00223,2020-07-29,16,Wednesday,Phone or tablet app,United States,Neutral,-0.3186,0.5526,0.1697
t00224,2020-07-29,16,Wednesday,Phone or tablet app,United States,Negative,-0.7367,0.7458,0.5007
t00225,2020-07-29,16,Wednesday,Twitter website,United States,Neutral,0.0117,0.8983,0.8416
t00226,2020-07-29,16,Wednesday,Scheduling tool,Canada,Neutral,-0.0339,0.9204,0.8636
t00227,2020-07-29,16,Wednesday,Phone or tablet app,Canada,Negative,-0.8546,0.8639,0.7371
t00228,2020-07-29,16,Wednesday,Twitter website,,Negative,-0.9283,0.9366,0.8814
t00229,2020-07-29,16,Wednesday,Twitter website,,Positive,0.6951,0.7154,0.4511
t00230,2020-07-29,16,Wednesday,Twitter website,,Positive,0.7029,0.7098,0.4266
t00231,2020-07-29,16,Wednesday,Scheduling tool,,Neutral,-0.2091,0.6548,0.3776
t00232,2020-07-29,16,Wednesday,Twitter website,,Neutral,0.4568,0.4922,0.0099
t00233,2020-07-29,16,Wednesday,Phone or tablet app,,Positive,0.9748,0.9786,0.9609
t00234,2020-07-29,16,Wednesday,Phone or tablet app,,Neutral,0.0211,0.9253,0.8774
t00235,2020-07-29,16,Wednesday,Phone or tablet app,Canada,Neutral,-0.2428,0.5124,0.1471
t00236,2020-07-29,16,Wednesday,Cross-posted,United States,Neutral,0.2115,0.7839,0.5701
t00237,2020-07-29,16,Wednesday,Scheduling tool,United Kingdom,Neutral,-0.1327,0.8235,0.6689
t00238,2020-07-29,16,Wednesday,Phone or tablet app,,Positive,0.6356,0.6481,0.3088
t00239,2020-07-30,20,Thursday,Scheduling tool,,Neutral,0.4295,0.5627,0.1293
t00240,2020-07-30,20,Thursday,Phone or tablet app,Ireland,Negative,-0.636,0.6618,0.3494
t00241,2020-07-30,20,Thursday,Phone or tablet app,United States,Neutral,0.1744,0.813,0.6324
t00242,2020-07-30,20,Thursday,TweetDeck,United States,Negative,-0.4896,0.5598,0.1898
t00243,2020-07-30,20,Thursday,Phone or tablet app,United States,Neutral,-0.373,0.5723,0.1719
t00244,2020-07-30,20,Thursday,Twitter website,,Neutral,0.4099,0.5429,0.1094
t00245,2020-07-30,20,Thursday,Phone or tablet app,United States,Negative,-0.7701,0.7782,0.5644
t00246,2020-07-30,20,Thursday,Phone or tablet app,United States,Neutral,-0.0454,0.8908,0.8135
t00247,2020-07-30,20,Thursday,Phone or tablet app,,Negative,-0.6949,0.715,0.4501
t00248,2020-07-30,20,Thursday,Phone or tablet app,Kenya,Negative,-0.7086,0.7269,0.4722
t00249,2020-07-30,20,Thursday,Phone or tablet app,,Negative,-0.5237,0.5481,0.1205
t00250,2020-07-30,20,Thursday,Twitter website,United States,Negative,-0.8648,0.8733,0.7551
t00251,2020-07-30,20,Thursday,Phone or tablet app,United Kingdom,Neutral,0.453,0.5096,0.0379
t00252,2020-07-30,20,Thursday,Phone or tablet app,United States,Neutral,-0.2082,0.6056,0.3043
t00253,2020-07-30,20,Thursday,Twitter website,,Negative,-0.651,0.6654,0.3453
t00254,2020-07-30,20,Thursday,Twitter website,United States,Positive,0.721,0.7243,0.4519
t00255,2020-07-30,20,Thursday,Phone or tablet app,Canada,Negative,-0.8689,0.8765,0.7607
t00256,2020-07-30,20,Thursday,Phone or tablet app,,Neutral,-0.3776,0.6,0.2113
t00257,2020-07-30,20,Thursday,Phone or tablet app,,Positive,0.6113,0.6199,0.2484
t00258,2020-07-30,20,Thursday,Phone or tablet app,,Negative,-0.8729,0.8785,0.7626
t00259,2020-07-30,20,Thursday,Phone or tablet app,United Kingdom,Neutral,-0.0091,0.9523,0.9239
t00260,2020-07-30,20,Thursday,Phone or tablet app,,Positive,0.9665,0.9733,0.9533
t00261,2020-07-30,20,Thursday,Phone or tablet app,United States,Neutral,-0.1078,0.8221,0.6792
t00262,2020-07-30,20,Thursday,Twitter website,United States,Neutral,-0.0561,0.9099,0.8369
t00263,2020-07-30,20,Thursday,Twitter website,Global / unstated,Neutral,-0.392,0.5712,0.1608
t00264,2020-07-30,20,Thursday,Phone or tablet app,United States,Negative,-0.5136,0.533,0.0853
t00265,2020-07-30,20,Thursday,Scheduling tool,Global / unstated,Negative,-0.6021,0.6194,0.2562
t00266,2020-07-30,20,Thursday,Phone or tablet app,,Neutral,-0.3429,0.4579,0.0154
t00267,2020-07-30,20,Thursday,Phone or tablet app,,Negative,-0.8409,0.8493,0.707
t00268,2020-07-30,20,Thursday,Phone or tablet app,,Neutral,-0.3035,0.5781,0.2154
t00269,2020-07-30,20,Thursday,Twitter website,,Positive,0.6521,0.7007,0.4499
t00270,2020-07-30,20,Thursday,Twitter website,,Neutral,-0.2576,0.6994,0.4203
t00271,2020-07-30,20,Thursday,Twitter website,United States,Negative,-0.677,0.6967,0.4132
t00272,2020-07-30,20,Thursday,Phone or tablet app,,Negative,-0.7275,0.7701,0.5828
t00273,2020-07-30,20,Thursday,Twitter website,United Kingdom,Neutral,0.2524,0.7256,0.4622
t00274,2020-07-30,20,Thursday,Twitter website,,Neutral,0.2848,0.6463,0.3271
t00275,2020-07-30,20,Thursday,Cross-posted,United States,Neutral,-0.0739,0.8131,0.6828
t00276,2020-07-30,20,Thursday,Twitter website,United States,Positive,0.4837,0.5027,0.0244
t00277,2020-07-30,20,Thursday,Twitter website,United States,Negative,-0.6115,0.6394,0.3066
t00278,2020-07-30,20,Thursday,Twitter website,United States,Neutral,0.1042,0.7918,0.6356
t00279,2020-07-31,17,Friday,Scheduling tool,United States,Neutral,0.1321,0.8529,0.7133
t00280,2020-07-31,17,Friday,TweetDeck,Canada,Negative,-0.897,0.9029,0.8117
t00281,2020-07-31,17,Friday,Phone or tablet app,United States,Negative,-0.7702,0.7783,0.5648
t00282,2020-07-31,17,Friday,Scheduling tool,United States,Negative,-0.844,0.8551,0.7214
t00283,2020-07-31,17,Friday,Twitter website,United States,Negative,-0.8664,0.879,0.7706
t00284,2020-07-31,17,Friday,Twitter website,Canada,Neutral,0.0549,0.8336,0.7229
t00285,2020-07-31,17,Friday,Cross-posted,United States,Neutral,0.0875,0.7115,0.5235
t00286,2020-07-31,17,Friday,Phone or tablet app,,Neutral,0.0881,0.5409,0.2673
t00287,2020-07-31,17,Friday,Phone or tablet app,United Kingdom,Neutral,-0.0126,0.917,0.8691
t00288,2020-07-31,17,Friday,Scheduling tool,,Neutral,0.0927,0.8322,0.7019
