tweet_id,tweet_text,posted_via,p_negative,p_neutral,p_positive,sentiment,sentiment_score,confidence,margin
t00507,Partnership of civil society activists helps to solve common challenges &amp; problems &amp; respond to #COVID19. #US Gover... https://t.co/Ho96Y9RF66,Twitter website,0.0114,0.4836,0.5049,Positive,0.4935,0.5049,0.0213
t00360,#ReduceReimburse #ReduceNITtuitionfees #mhrd #COVID19 Whole semester is to be conducted online But NITians are to p... https://t.co/oyhhsK79t1,Phone or tablet app,0.4767,0.5,0.0233,Neutral,-0.4534,0.5,0.0233
t00621,"Nearly 7,000 #Massachusetts children have contracted #COVID19, including 118 hospitalizations, according to a repor... https://t.co/ZG5pQd4qo8",Scheduling tool,0.4805,0.5041,0.0154,Neutral,-0.4651,0.5041,0.0237
t00924,If Biden wants to do whatever we can do to save lives why doesn’t he shut down Planned Parenthood? #COVID19,Phone or tablet app,0.4966,0.4725,0.0309,Negative,-0.4657,0.4966,0.024
t00276,Don't forget your mask.... and don't forget to wear it correctly. Health officials say wearing it the right way is... https://t.co/N3mfcTEDCj,Twitter website,0.019,0.4783,0.5027,Positive,0.4837,0.5027,0.0244
t00831,"So how many deaths is it, @ABCaustralia? #COVID19Vic #COVID19Aus #COVID #COVID19 #Covid19VicData #snafu https://t.co/BTcfkHcdy3",Twitter website,0.4799,0.5047,0.0154,Neutral,-0.4645,0.5047,0.0249
t00666,Whoops... #Norge #covid19 #Corona https://t.co/0VqQitLFCO,Twitter website,0.4891,0.4637,0.0472,Negative,-0.4419,0.4891,0.0254
t00762,#covid19 cases increased faster in Denver than in Weld County from 5/6 to 8/13 despite the mandatory mask requireme... https://t.co/9KdnHEHKN3,Phone or tablet app,0.5045,0.4774,0.0181,Negative,-0.4864,0.5045,0.027
t00563,"Highest single-day spike of 64,399 #COVID19 positive cases &amp; 861 deaths reported in #India, in the last 24 hours.... https://t.co/u7fAngYp58",Phone or tablet app,0.5005,0.4732,0.0262,Negative,-0.4743,0.5005,0.0273
t00089,Everybody needs something a little different. Just be in tune with yourself. 💕 #COVID19 #Coronavirus,Bot or auto-feed,0.0808,0.4448,0.4744,Positive,0.3936,0.4744,0.0295
t01011,Police were doing breathalyzer test in Ashgrove (QLD) on Thursday (27/08) at 2pm! You do know its risky doing it wh... https://t.co/Ma0qBMdrEj,Phone or tablet app,0.5044,0.4719,0.0236,Negative,-0.4808,0.5044,0.0325
t00578,Oh look... #COVID19 #Covid19UK https://t.co/tvsUaUd06z,Twitter website,0.4574,0.4921,0.0505,Neutral,-0.4069,0.4921,0.0347
t00751,@tiger150 @THEHermanCain I wonder if Herman has #COVID19 post-mortem. &lt;I just slapped my hand&gt;.,Phone or tablet app,0.5035,0.4676,0.0289,Negative,-0.4746,0.5035,0.0358
t00878,The impact of #COVID19 on #construction is stark. But owners and operators that act now to embrace more efficient a... https://t.co/rxbcYqUm41,Scheduling tool,0.504,0.468,0.028,Negative,-0.476,0.504,0.036
t00486,ac/said/er via Whitehall rebecca in reverse. They said its a fair Hurst Teacher. Flying newts class. So weird how m... https://t.co/xbVyqZi195,Phone or tablet app,0.5089,0.4716,0.0195,Negative,-0.4894,0.5089,0.0373
t00251,#Ethiopia @FMoHealth continues to increase #COVID19 test capacity exponentially; essential for intelligence on the... https://t.co/ZfHiTMV3GP,Phone or tablet app,0.0187,0.5096,0.4717,Neutral,0.453,0.5096,0.0379
t00779,Yet another study has established that BCG (Bacille Calmette-Guerin) vaccine increases the ability of the immune sy... https://t.co/XZHzG0DFw8,Phone or tablet app,0.0058,0.4773,0.5168,Positive,0.511,0.5168,0.0395
t00461,@Niki_Lyn_ @BeckySarasotabf @rccola1962 @stillgray Interesting. #personwomanmancameratv #ItIsWhatItIs #Epstein... https://t.co/9py9cG6aeK,Phone or tablet app,0.0103,0.515,0.4747,Neutral,0.4644,0.515,0.0403
t00070,But lets send the kids &amp; teachers back to filled schools &amp; full school days in just a few weeks. The blood is on th... https://t.co/satkvWkR9Q,Phone or tablet app,0.5009,0.4603,0.0388,Negative,-0.4621,0.5009,0.0405
t00373,"Thread of Today’s Visit to #London what it’s like during #COVID19 100% authentic, if your looking for Bullshit and... https://t.co/EB4S5GdvJC",Phone or tablet app,0.4437,0.4842,0.0721,Neutral,-0.3716,0.4842,0.0405
t00994,@EricTopol Slow down testing (e.g. new CDC guidelines). Take control of #COVID19 data. Push out vaccine before it i... https://t.co/YueKz6GWA6,Twitter website,0.5119,0.4707,0.0174,Negative,-0.4945,0.5119,0.0412
t00586,Breastfeeding should not be stopped out of the fear of having #COVID19. Ensure to: 😷 Wear a mask during feeding 💧... https://t.co/HcTvNr3ugt,Twitter website,0.4624,0.5044,0.0331,Neutral,-0.4293,0.5044,0.042
t00447,@SenToomey #CitiesAreEssential in the #COVID19 response &amp; recovery. Our hometowns need help NOW through DIRECT reli... https://t.co/8kPWYnAvqO,Twitter website,0.0337,0.4593,0.5069,Positive,0.4732,0.5069,0.0476
