user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Biotechnology AI Fintech Researcher,United States,"Disclaimer:  All posts & RT are for informational purposes only & NOT a recommendation to buy, sell, hold securities of any kind & Never Medical/Health Advice",2009-12-29 09:36:31,4345,2822,115,False,2020-07-24 23:51:12,Gilead Sciences Update On The Company’s Ongoing Response To COVID-19 https://t.co/1ZD4Qyfaxa $GILD #Covid19 #Healthcare,"['Covid19', 'Healthcare']",Twitter Web App,False
Fiona_No_ID_Lady,,"(She/Her) Lost in Idaho for over 3 decades, by way of California, by way of Texas, by way of Oklahoma. LOVE TRUMPS HATE",2015-09-26 03:01:36,551,1999,171177,False,2020-07-24 23:51:16,Mixed bag for #Idaho Panhandle HD today - new #COVID19 cases decreased from 81 yesterday to 51 today. Unfortunately… https://t.co/RH37Ho2BrB,"['Idaho', 'COVID19']",Twitter for iPhone,False
NASDSE,"Alexandria, VA",NASDSE is a premier membership organization that supports state leaders of special education. NASDSE was formed in 1938.,2016-09-14 15:43:37,524,495,131,False,2020-07-24 23:52:03,"Q7 Ultimately, do you believe the #pandemic will change the structure of education permanently or will the current… https://t.co/PBAhkIWAbJ",['pandemic'],Buffer,False
Julie Levangie❄️,"Solvang, CA",Trying to find humor in the absurd.,2016-12-31 20:47:48,74,541,2490,False,2020-07-24 23:52:10,F U #COVID19. My hair salon is going out of business.🖕🏽,['COVID19'],Twitter for iPhone,False
#Yettismanchester,"Manchester, England","Serving deliciousness to your home/business/event. Movies and chill at the 1st Afro entertainment, Nigerian food hub in Manchester. 📥food@yettiskitchen.com",2015-11-16 20:15:39,153,398,4365,False,2020-07-24 23:52:27,"It’s one thing wearing #masks in and out of shops (new rule 😩), it’s a whole different ball game wearing them to co… https://t.co/jUiBtQBtSY",['masks'],Twitter for iPhone,False
Brad Giovanine,NYC,"Broadway: THE GREAT COMET of 1812 Soon: ASSASSINS, #ClassicStageCompany Actor/Singer/Musician in NYC. Proud father of a Jeep Wrangler.",2011-03-06 02:48:44,950,575,10636,False,2020-07-24 23:53:32,"trump hasn’t had a change of heart. 

he finally saw the current polling. 

vote this fucker out. 

#COVID19 #Biden2020","['COVID19', 'Biden2020']",Twitter for iPhone,False
Adam Hammoude,,,2011-09-12 14:31:41,168,597,2365,False,2020-07-24 23:53:38,"@BernieSanders Only in in the land of free and home of the brave, the great #United #States of #America does a bill… https://t.co/fQzCEzAbRr","['United', 'States', 'America']",Twitter for iPhone,False
Cathy (Arndt)Carmody,Chitown,"Passion for helping people learn, ending cycle of domestic violence, Cardinals baseball, gardening, golf, biking, photography, increasing a sense community.",2009-07-08 20:08:48,56,101,261,False,2020-07-24 23:53:39,"Now everyone can stay home, watch #MLB, keep #COVID19 from spreading further!","['MLB', 'COVID19']",Twitter for Android,False
Doug Nadvornick,"Spokane, Washington USA",I'm the program director and news director at Spokane Public Radio.,2010-11-10 21:37:52,398,748,945,False,2020-07-24 23:54:04,#Covid19 is not just for cities anymore. Rural northeastern Washington has seen an increase in cases over the last… https://t.co/jOXmFPWrhv,['Covid19'],Twitter Web App,False
Lunamoon ✨🌟✨🇺🇸✨🌟✨,USA,Jesus is my Savior 🙌🏻🙌🏻🌟Yeshua🌟🙌🏻🙌🏻🇺🇸🇺🇸🇺🇸America 🇺🇸🇺🇸🇺🇸🌟Give your Life to Jesus Christ 🌟🌟#Benghazi ain’t going away!,2016-10-23 17:36:45,11364,11221,254790,False,2020-07-24 23:54:12,Rapture Dream - I was left behind. JESUS IS COMING https://t.co/o2ogi3oBhU #Jesus #Yeshua #Rapture #dreams… https://t.co/fjcvUEnN64,"['Jesus', 'Yeshua', 'Rapture', 'dreams']",Twitter Web App,False
🌎T&F OLYMPIAD 🏟 Worldwide Athletics,💙Born in Venezuela/Spain🔨,"ATHLETICS IS THE BEST SPORT🔮
Worldwide athletics specially #LatinAmerican
➜author: A. B. G.
👣former mountain runner🇻🇪Architect/UrbanPlanner",2016-11-01 23:26:00,526,383,7334,False,2020-07-24 23:54:13,"Panama 🇵🇦 declines to host the 2022 CAC Games
#covid19 #coronavirus https://t.co/0Oq2wZeI2d https://t.co/qo26l5fzu1","['covid19', 'coronavirus']",Twitter for Android,False
La_Primavera,"Geneva, Switzerland","....dentro c’è una bella novità, che a primavera nascerà per farti compagnia...
Protection of animals is education toward humanity. A. Schweitzer 
NO DMs PLEASE",2016-04-21 20:34:16,1003,1165,19296,False,2020-07-24 23:54:15,"@La_Primavera_GE 
The second wave is here. #COVID19 #COVID #coronavirus https://t.co/UFbO9G9JHz","['COVID19', 'COVID', 'coronavirus']",Twitter for Android,False
Scallywagandvagabond,"Manhattan, NYC","Scallywag and Vagabond is a forum for critical reviews, interviews, insights, and the juice on scandal and gossip.",2009-10-20 19:12:27,2551,1321,94,False,2020-07-24 23:54:39,'I’ll kill you!' Florida man pulls gun on Walmart shopper who asked him to wear mask arrested &amp; charged… https://t.co/lnGhxu6ME8,,Twitter Web App,False
AR_MEDCOM,"Pinellas Park, FL",,2012-12-04 13:08:47,224,97,614,False,2020-07-24 23:54:49,"Maj. Michelle Coleman, a Critical Care Nurse from El Paso, TX, conducts premob activities in San Antonio, TX as she… https://t.co/5gBIBw6aZz",,Twitter Web App,False
Population Health,"New York, NY",The Department of Population Health @NYULangone works to improve the health of populations and advance health equity. Watch our video https://t.co/IJifkkqVdu,2015-11-24 16:28:04,2992,1151,2229,False,2020-07-24 23:55:02,"""As the #COVID19 pandemic continues to exact its toll on the world, collaborative efforts are needed to provide tim… https://t.co/W85DlULHjj",['COVID19'],Sprout Social,False
GuideSpark,"Redwood City, CA","GuideSpark is the leader in change communications guiding over 1,000 enterprise customers to business success by changing the hearts and minds of employees.",2009-10-29 20:49:05,4668,4825,601,False,2020-07-24 23:55:02,#COVID19 has changed everything - including your employees' goals. Keep these factors in mind as you work with your… https://t.co/S6B1LsimUQ,['COVID19'],Sprout Social,False
Matt Trezza,"Orlando, FL",FOX35 Reporter. Opinions my own. Retweets not endorsements. Send tips and feedback to matthew.trezza@foxtv.com. Find me on Instagram: m_trezza,2016-08-02 14:40:12,1589,3017,517,False,2020-07-24 23:55:59,Two of Orlando’s @RosenHotels reopening on Sunday. Lots of safety procedures in place to keep rooms clean and guest… https://t.co/5uUznYVsc9,,Twitter for iPhone,False
Ms. Lonnie 🦋💜🤗,"New York, USA","❤️ID channel, 😻animals, 💃dancing. Married to the right man🎉.   @TheBrightonBeat 🎺 @MrCliffordBand 🍫 @BrianRigbyBand🎸@AFAStudio  #FBR",2017-04-16 20:49:28,9022,8981,58525,False,2020-07-24 23:56:16,Let her send her kids to school. If she doesn't have kids she should go sit in the COVID UNIT and watch the horrors… https://t.co/YgdJGvQYrz,,Twitter for Android,False
S. F. Sutcliffe,,Questioning just about everything by Design.,2009-05-29 14:19:11,2309,2282,42868,False,2020-07-24 23:56:25,"@JamesMelville the latest James.. posted earlier.. 

https://t.co/AtS3EjD2PI 

also, from world renowned Infectious… https://t.co/xgp0BOf1Zs",,TweetDeck,False
Liz Youngblood,"Houston, TX",COO of CHI Texas Division and President of Baylor St. Luke’s Medical Center,2019-02-11 18:12:54,264,265,196,False,2020-07-24 23:56:50,.@JackieKOlive Thank you for sharing your talent with everyone at Baylor St. Luke's! Every small act of #kindness b… https://t.co/sEmWRRjKtW,['kindness'],Twitter Web App,False
Roger Verhoeven,Nederland,"#bots 🤖#socialmedia

https://t.co/W3ASVx0Czf

Mastodon Social : @RogerVerhoeven@mastodon.social 

https://t.co/UItMx04eQG",2010-07-09 16:27:23,2130,4997,10021,False,2020-07-24 23:57:13,"#Taiwan Gov Releases Real-time Mask Inventory Data, 72 #apps Created in 1 Day (日 / 한 / En) by @chihaoyo in @g0vtw… https://t.co/IOUXxdpxrt","['Taiwan', 'apps']",Twitter Web App,False
i CoNN,Canada,"Rapper,Song writer",2012-03-18 01:07:39,285,1025,1233,False,2020-07-24 23:57:31,@fenixfoundation @elonmusk I feel bad for the small business's that aren't considered essential. Why is it okay for… https://t.co/p7LuvQaadg,,Twitter Web App,False
Christina Hinojosa,,World class friend and lover of life!!!,2011-09-27 17:49:05,367,914,34672,False,2020-07-24 23:57:34,Less than 10% bed availability at my hospital is understaffed and nurses are overwhelmed #WearAMask #COVID19 https://t.co/bSSiw5ub51,"['WearAMask', 'COVID19']",Twitter for iPhone,False
Lee,,"Person, woman, man, camera, tv.",2017-02-09 21:04:35,2556,4202,215863,False,2020-07-24 23:58:04,Pass #COVID19 on to Grandpa. https://t.co/jcjfBpoZRD,['COVID19'],Twitter Web App,False
Travis In Dallas,"Mesquite, TX","A Texan Standing With President Trump As He Works To Make America Great Again. 
If You're Reading My Bio, Be Sure To Hit Follow. 😀👆 #MAGA  #KAG2020",2016-03-04 22:44:51,522,219,33039,False,2020-07-24 23:58:30,"So #COVID19 cases are going down in Dallas, but guess what.

Now they say ""While cases are going down, it's infecti… https://t.co/NgElXIuII2",['COVID19'],Twitter for Android,False
Katie Foust,"iPhone: 31.479828,-97.206421",Everyone deserves a nap.,2009-05-04 03:13:59,105,205,63,False,2020-07-24 23:58:38,Maybe back in April people should have been more concerned with schools opening than with getting their damn nails… https://t.co/D3D67It44U,,Twitter for iPhone,False
The AssarV10 Team™©,"California, USA",The AssarV10 Team™©,2015-12-23 07:40:38,2565,779,9732,False,2020-07-24 23:59:21,The first Phase 3 coronavirus vaccine trial in the US is expected to begin next week. Here's how the vaccine… https://t.co/0J9dBCdtbN,,assarofficial,False
Andy Bitchsear,,"Corrupt Kentucky Governor and all around tyrannical power hungry fairweather politician, father, and son. COMMITTED TO STEALING YOUR RIGHTS. this is a satire.",2020-07-19 20:54:16,3,7,83,False,2020-07-24 23:59:23,@JohnCranley @Willie700WLW @MikeDeWine  Why is it okay for the @Reds to break the mask mandate on public funded-cit… https://t.co/AiY72tBdlX,,Twitter for iPhone,False
Charlie Isaacs,"ÜT: 37.322821,-121.809369","VP, CTO for Customer Connection at @salesforce - I help Connect Customers and their Products. #Ally #IoT #Diversity #STEAM #Inclusion #Grateful He/Him",2008-10-24 04:51:27,35279,31855,48593,False,2020-07-24 23:59:28,"Well, my daughter cut my hair because my wife chickened out... but you asked for the before and after pics, so be c… https://t.co/DHnlOHWd64",,Twitter for iPhone,False
Fed up MASK IT OR CASKET😷,,"6th sense was given for a reason...tap into yours!
Tweet a lot/follow at your own risk...",2016-11-11 01:58:28,330,239,60088,False,2020-07-24 23:59:42,"Too late
#BOUNTYONOURMILITARY 
#TRE45SON 
#COVID19 
""Trump signs orders to lower prescription drug costs""  https://t.co/KrM6g3Woea","['BOUNTYONOURMILITARY', 'TRE45SON', 'COVID19']",Twitter for Android,False
Mary Freeman,"San Francisco Bay Area, CA",Writer/author #AI #ML #DL #IoT #circulareconomy #cloud #security #robotics #manufacturing #retail #hospitality #health @SightMachine @Cisco @MIT @UCBerkeley OMO,2016-09-15 23:59:51,595,806,794,False,2020-07-25 00:09:24,"An epidemic is “a moment of truth between communities, health officials and the overall system of government""… https://t.co/kDnVPV5RVC",,Twitter Web App,False
Angelahoffer_,"Delaware, USA",ig // @angelahoffer_  tiktok @angelahoffer_,2014-09-11 13:45:05,1653,510,39699,False,2020-07-25 00:46:59,@JohnCarneyDE Way more people would comply with wearing a mask if you  acknowledged how people are suffering more f… https://t.co/FZhFkOmjxs,,Twitter for iPhone,False
TheCable,Nigeria,Nigeria's independent online newspaper,2013-10-11 15:01:36,534188,3946,2355,True,2020-07-25 00:50:36,"N1m on a COVID-19 patient: @ProfAkinAbayomi was misunderstood, says @followlasg https://t.co/jc8amxJLLf via @thecableng 

#COVID19",['COVID19'],Twitter for Android,False
Maricopa County Sheriff's Office,Maricopa County Arizona,Official account for the Maricopa County Sheriff’s Office in Arizona. Neither RTs or mentions imply endorsement. Not monitored 24/7.,2011-03-11 20:09:00,18983,161,917,True,2020-07-25 01:03:17,"Here are today’s numbers on #covid19 testing inside our jails. For more details visit:

https://t.co/bPQbdz2GKy https://t.co/FwBJtbY4KT",['covid19'],Twitter for iPhone,False
DJ RICHY RICH,,Just your Unique Local Producer🤷🏽‍♂️,2019-02-19 10:01:12,22,34,111,False,2020-07-25 01:11:00,"EVERY👏🏽DAMN👏🏽ELECTION👏🏼ITS👏🏼A👏🏽WORLD👏🏽WIDE👏🏼ISSUE👏🏽‼️

#Election2020 #ElectionDay #COVID19 #worldproblems","['Election2020', 'ElectionDay', 'COVID19', 'worldproblems']",Twitter for iPhone,False
RadhakrishnanRK,Chennai,"#Journalist. #Teacher. #Researcher. #Tamilnadu/#Dravidianpolitics, #Maldives, #SriLanka, #Bangladesh, #Nepal, #Refugees",2009-06-12 07:57:54,56301,342,37172,True,2020-07-25 01:49:51,"If a compilation of counterproductive methods of #COVID19 control is done, add this. Nothing to top April ""lockdown… https://t.co/KlKd2h2LNV",['COVID19'],Twitter for Android,False
Jagster,Australia,"Systematic trend-following analysis for trading #Cryptos, global indices, commodities and sometimes #stonks #ASX #ASX200. NOT investment advice. Buy #BTC",2016-02-21 03:20:55,1479,849,17051,False,2020-07-25 02:16:13,"Trade Wars invariably lead to Real Wars. Next one to be blamed on the release of a ""Gain of Function"" experiment… https://t.co/Wt9JY1YFyq",,Twitter for Android,False
Aaron Derfel,Montreal,I'm the health-care journalist at the Montreal Gazette.,2010-07-01 01:19:14,17511,190,5401,True,2020-07-25 02:18:21,"9) For those who’ve complained my reporting is unduly pessimistic, I want to draw attention to this undeniably posi… https://t.co/suFUaIlEOu",,Twitter Web App,False
👨🏻‍🦰🐂🦈⚖️ Gerry Moylan 🏡🗣👨🏽‍🤝‍👨🏼🌊🆘,Los Angeles,Multipotentialite. Former rock radio disc jockey. Writing daily & selling the American dream in Los Angeles.,2009-03-04 01:55:11,1223,2013,17154,False,2020-07-25 02:29:35,Phillip made Chicken Parmigiana #dinner #foodie #food #covid19 #eatingin https://t.co/GzquKYdepB,"['dinner', 'foodie', 'food', 'covid19', 'eatingin']",Instagram,False
Esther Rockett 🚀,"Sydney, New South Wales",Successful defamation defendant Benhayon v Rockett ⚖️🏆 Investigative writer calling #SergeBenhayon & #UniversalMedicine cult to account. Fight #SLAPP,2014-05-22 08:15:11,1050,1783,4716,False,2020-07-25 03:23:53,"A strength of #Vietnam strategy - pre-emptive testing of all contacts &amp; whole neighbourhoods/workplaces, symptomati… https://t.co/RG9xceTWOb",['Vietnam'],Twitter Web App,False
TLRiddle,"Los Angeles, CA","Catholic, Democrat, creative, animal lover, wellness fanatic.",2018-08-26 00:35:17,286,1005,29376,False,2020-07-25 04:01:11,“She tested positive for the coronavirus. She's a #singlemom caring for a #disabled teenage son who also became sic… https://t.co/GEIDDWFKiX,"['singlemom', 'disabled']",Twitter for iPhone,False
Dr Leon Hartwell,"Sydney, Australia","Transatlantic Leadership Fellow at @CEPA. Once told a joke to a dictator. Interested in #politics, foreign policy & #ConflictResolution. RT/follow ≠ endorsement",2011-10-24 05:11:53,10474,9568,3971,False,2020-07-25 04:03:44,"Perhaps #DrFauci sent a subliminal message to us: We should leave baseball to baseball players, just like we should… https://t.co/8m3OONGvp6",['DrFauci'],Twitter Web App,False
Pavan Chowdary,keenatampalli(Home Town),"1st cry on 27th April
mom's lill son....🙂
electrical engineering.....⚡
bullet lover....🏍️
Ntr fan ikkada......👈💪",2018-08-17 03:03:45,16,32,250,False,2020-07-25 05:37:16,"We, the students, are the future of our state, our country. If we become victims of the deadly virus #COVID19, and… https://t.co/qilS0chmiw",['COVID19'],Twitter for Android,False
Julia Hengstler,,"#EdTech, #Privacy, Research, Raising DigiSavvy Kids--All opinions my own; Consultant, Faculty of Ed Professor, PhD Student, Ed Technologist.",2009-02-02 06:17:59,3809,3321,13574,False,2020-07-25 06:13:13,Top NYC school NEST+M wants full-time remote learning next year https://t.co/DXwLDWsN6G via @nypmetro #COVID19… https://t.co/v8t0hdu2Pu,['COVID19'],Twitter for iPhone,False
DEV MANAV SEWA TRUST,,"This Trust is dedicated to the poors, orphans, illiterates, women, widows, military families, farmers and society. Our aim is your service and safety.",2020-05-29 06:54:07,7,37,25,False,2020-07-25 06:16:01,#devmanavsewa #manavsewa #lockdown #thoughts #covid19 #thoughtoftheday #helpingothers #spiritualguru #motivater… https://t.co/nM9hwoS87l,"['devmanavsewa', 'manavsewa', 'lockdown', 'thoughts', 'covid19', 'thoughtoftheday', 'helpingothers', 'spiritualguru', 'motivater']",Twitter for Android,False
Novel Coronavirus - Covid19,,"Global Coronavirus news from journals, media, experts and researchers. Updated often. Human curated by Dave Roberts",2020-01-06 17:09:38,44403,36,6,False,2020-07-25 06:57:27,Employing a Systematic Approach to Biobanking and Analyzing Genetic and Clinical Data for Advancing #COVID19 Resear… https://t.co/yOxAda99LR,['COVID19'],Flamingo for Android,False
Muzamil,"Abu Dhabi, United Arab Emirates","•Entrepreneur •Social Media Marketing Strategist •Blogger •Content Marketing Influencer, I help you set realistic online business goals & I help you achieve.",2010-04-13 06:09:12,580,1526,1157,False,2020-07-25 07:14:29,"""20 million renters in the U.S. could be evicted in the coming months. Experts worry this will only increase the sp… https://t.co/Chd2bVItGf",,IFTTT,False
John Robinson,England,"Town Planner. Built environment, design, food, style, craft beer and wine get me going. 2hr 34min 14sec  pb marathon.
Instagram @johncs2012",2009-02-08 18:11:45,88,479,4994,False,2020-07-25 07:35:17,Wtf! @BBCBreakfast Defending  the government's  approach to tackling the #COVID19 virus...,['COVID19'],Twitter for Android,False
ILoveQatar - Live,"Doha, Qatar","Welcome to Qatar! Official twitter account of https://t.co/rTq5cJwxvC - tweeting news, events, entertainment, tips and guides anytime in #QATAR",2012-05-15 07:10:22,42279,487,2380,True,2020-07-25 07:44:06,"People are complaining they’ve gained weight during #COVID19. For a quick fix, some of them have turned towards cra… https://t.co/2daZxvxBF7",['COVID19'],Twitter Web App,False
No Lockdown,UK,"Remember when human rights were inalienable? Ah, you're probably too young.",2020-03-21 13:16:09,5524,690,15625,False,2020-07-25 07:53:02,"This is happening everywhere.

Scottish legislation is easier to challenge...  someone should take it to court to t… https://t.co/pqAYUsMmVd",,Twitter Web App,False
www.THEPIGEONEXPRESS.com,online,The Pigeon Express @PigeonExpress_ || News Feed Loop,2018-10-30 05:54:46,1002,109,4100,False,2020-07-25 07:54:00,"""Just felt it wrong,"" Donald Trump says, cancelling Republican convention in Florida amid rising coronavirus cases.… https://t.co/dPy95I0pXL",,TweetDeck,False
TM Media Solutions,"Johannesburg, South Africa","Music Video/Film Production | Music Production | Graphic Design 
TM Media Solutions ® 
Registration Number : 2018/500191/07 'The Home Of Colorful Entertainment'",2017-12-01 13:25:20,230,24,129,False,2020-07-25 07:58:05,"Get a professional logo today for only R300

#BBNaijia #bbnaijalockdown2020 #COVID19 #ZanupfMustGo… https://t.co/EfFHOsqQbA","['BBNaijia', 'bbnaijalockdown2020', 'COVID19', 'ZanupfMustGo']",Twitter for Android,False
DBentoBox,London,,2018-03-26 01:46:32,4,78,770,False,2020-07-25 08:27:02,"@British_Airways Why is the call center refusing to take calls? A message comes up saying “call back another time,”… https://t.co/3vry18DFDF",,Twitter Web App,False
Cleveland Clinic Indian River Hospital,"Vero Beach, FL",Every life deserves world class care.,2009-11-24 01:41:13,564,153,157,False,2020-07-25 08:40:01,Clinical Trial Hopes to Keep Patients Off Ventilators: https://t.co/8V55wYwuqO via  @NBC6 #COVID19,['COVID19'],Sprout Social,False
Juan Manuel Alonso,"Madrid, Córdoba, Doha",Sports Physician Track&Field lover Mad about sports Hate Doping Views my own Médico del Deporte Amante de Atletismo Loco x deporte Odio dopaje Opiniones mías,2012-11-12 21:24:53,2591,2595,12145,False,2020-07-25 08:53:42,"#COVID19 &amp; Sport Alert!

Interesting👀

Modelling COVID-19 propagation during 🇪🇸#football ⚽️@LaLiga 

Reducing days… https://t.co/XkXmpAsKmj","['COVID19', 'football']",Twitter Web App,False
RxDx Clinics,"Whitefield, Bangalore, India","Premier Patient Friendly 24/7 Multi-Speciality Pre-Hospital, Clinic&Acute Care Facility at Whitefield, Bangalore. Contact: +91-80-49261111/67458111
info@rxdx.in",2009-10-27 12:19:25,809,521,31,False,2020-07-25 09:00:45,"#OnlineConsultation, #ContactlessServices make lives easier as #COVID19 spreads at an alarming rate. Phone/computer… https://t.co/Vm6inDvcqq","['OnlineConsultation', 'ContactlessServices', 'COVID19']",Buffer,False
GW Integrative Medicine,"Washington, DC",The Integrative Medicine Programs and the Office of Integrative Medicine and Health at the #GWSMHS. Follow/RT ≠ endorsement.,2017-10-25 14:25:46,617,482,1258,False,2020-07-25 10:00:35,What we're reading: The Path to a @EVMSedu’s #COVID19 Integrative Protocol Using Multiple Natural Agents: Interview… https://t.co/Ga7bXmlzYY,['COVID19'],Hootsuite Inc.,False
Olamide,"Federal Capital Territory, Nig",IT Consultant,2019-10-23 06:49:25,177,617,1179,False,2020-07-25 10:12:14,"Lagos schools to resume August 4 https://t.co/h133Zo6Mr4

@followlasg @DeleMomodu @DrAhmadLawan 

#alreadyvideo #COVID19 #BBNaijia","['alreadyvideo', 'COVID19', 'BBNaijia']",Twitter for Android,False
Cerys Morgan 🚰🧼🤲🏻🧼🚰,"Primrose Hill,London","Dog owner and Doctor in the NHS (Geriatric/GIM). Lives in London. Interests - LFC, medical education, dogs and fitness.",2014-12-07 09:26:07,2756,800,6324,False,2020-07-25 10:22:14,"What are teams doing for their outgoing juniors? 

Ours have been on the job for 8months (4 of which we were exclus… https://t.co/lYsUSBZg9h",,Twitter for iPhone,False
mathunt71 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇪🇺 💚 🌱🌍,United Kingdom,"Enjoy the simple things in life, but hate greed, selfishness, & intolerance. Want us ALL to have a good, safe, and happy life.

All views/comments are my own.",2010-12-21 01:22:25,556,1547,6411,False,2020-07-25 10:33:36,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/84jdSkWf6z",['COVID19'],Twitter for Android,False
Jessica Finn,"New York, NY",Journalist @ENews DM’s are open Jessica.Finn@NBCUni.com,2009-07-06 02:14:15,2934,1600,6561,True,2020-07-25 10:34:39,But lets send the kids &amp; teachers back to filled schools &amp; full school days in just a few weeks. The blood is on th… https://t.co/satkvWkR9Q,,Twitter for iPhone,False
newgovplz🇺🇸 Freedom #leadright USA,"Hillsborough, NJ",R/T 4 Freedom /For the sake of the greater good /Founder of #njunemploymentpandemic Facebook Group *Momma g *Father- Army *Sister -AirForce *BNL- AF,2020-04-13 01:46:59,549,894,6396,False,2020-07-25 10:43:45,Wow- so apparently @JoeBiden knew how to contain #COVID19 and prevent “this” but didn’t. Shame on him.… https://t.co/HVatw8hTzS,['COVID19'],Twitter for iPad,False
SocialMediaAntiBully,,Standing up against ALL social media bullies through a lyrical masterpiece.,2019-07-13 23:23:05,13,19,366,False,2020-07-25 10:45:19,Y’all dont realize #DonaldTrump cutting off unemployment so black people can have to go to work.  Y’all don’t think… https://t.co/w0hpXsICX0,['DonaldTrump'],Twitter for iPhone,False
Airat Oluwakemi Abdulmalik,,,2020-01-08 16:49:15,15,50,0,False,2020-07-25 11:04:07,"Sallah orders available with High taste and very affordable,we also offer home deliveries within kaduna.
Message 08… https://t.co/kpTpLRdKZJ",,Twitter for Android,False
